"Incident Date",State,"City",Address,"killed","injured",Operations,"district",lat,lng
"January 22, 2017",Texas,Manvel,200 block of Oak Shore Dr,3,2,N/A,22,29.5143921,-95.3747808
"January 22, 2017",Georgia,Atlanta,2841 Greenbriar Pkwy SW,3,1,N/A,5,33.6877868,-84.4934528
"January 21, 2017",Georgia,Jonesboro,6510 Tara Blvd,0,6,N/A,13,33.5768929,-84.37205709999999
"January 21, 2017",Florida,Boynton Beach,500 NE 2nd St,0,5,N/A,20,26.5308019,-80.0616601
"January 21, 2017",Tennessee,Memphis,500 block of Delta Road,2,2,N/A,9,35.0180629,-90.080823
"January 20, 2017",Mississippi,Como,Smart Road,1,4,N/A,2,34.5334344,-89.77416090000001
"January 20, 2017",California,Fresno,4700 block of E Montecito Ave,0,4,N/A,16,36.7340778,-119.7409618
"January 16, 2017",Texas,Houston,8535 Martin Luther King Boulevard,0,4,N/A,9,29.6590182,-95.3362404
"January 16, 2017",Florida,Miami,6011 NW 32nd Ave,0,8,N/A,24,25.8294333,-80.2488973
"January 15, 2017",Colorado,Capulin,County Road Y,3,1,N/A,3,37.2816971,-106.1086315
"January 15, 2017",Mississippi,Magnolia,6000 block of Church Road,1,4,N/A,3,31.1285292,-90.5340219
"January 12, 2017",Missouri,Kansas City,8607 E 61st Terrace,3,2,N/A,5,39.0122595,-94.48562869999999
"January 12, 2017",California,Salinas,500 block of Sunrise St,2,2,N/A,20,36.685208,-121.6141734
"January 11, 2017",New Jersey,Newark,Hawkins Street and Christie Street,1,3,N/A,8,40.7278889,-74.1388467
"January 11, 2017",Illinois,Chicago,4200 block of S Talman,1,3,N/A,4,41.8173059,-87.69079599999999
"January 7, 2017",Michigan,Flint,2500 block of Churchill Ave,1,3,N/A,5,43.0341281,-83.65877359999999
"January 6, 2017",California,Pasadena,100 block of W Claremont St,2,2,N/A,27,34.1666645,-118.152891
"January 6, 2017",Florida,Fort Lauderdale,100 Terminal Dr,5,6,N/A,23,26.0725724,-80.1362273
"January 4, 2017",California,Fontana,14520 Village Drive,3,1,N/A,35,34.0437426,-117.4861745
"January 3, 2017",Texas,Allen,500 block of Hawthorne Drive,0,4,N/A,3,33.084276,-96.6664498
"January 1, 2017",Mississippi,Winstonville,114 North Greyer Street,0,5,N/A,2,33.9140119,-90.75150529999999
"January 1, 2017",Texas,Dallas,9220 Skillman Street,1,3,N/A,5,32.9022211,-96.7142873
"January 1, 2017",Florida,Miami,8000 block of NW 14th Ave,0,7,N/A,24,25.848283,-80.2216558
